Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,Plextor,M8Pe NVMe PCIe M.2 256GB,180.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,HP,EX920 NVMe PCIe M.2 256GB,179.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,Corsair,Neutron NX500 NVMe PCIe 400GB,179.0,400GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,Crucial,P1 3D NVMe PCIe M.2 500GB,179.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,Samsung,PM961 NVMe PCIe M.2 256GB,177.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,177.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,Samsung,PM961 NVMe PCIe M.2 128GB,176.0,128GB,M.2,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,Samsung,SM951 AHCI PCIe M.2 256GB,175.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,174.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,Mushkin,Pilot NVMe PCIe M.2 250GB,172.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,Kingston,KC1000 NVMe PCIe M.2 960GB,171.0,960GB,M.2,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,Samsung,SM951 NVMe PCIe M.2 128GB,171.0,128GB,M.2,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,Toshiba,XG5 NVMe PCIe M.2 1TB,171.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,Crucial,P2 3D NVMe PCIe M.2 250GB,171.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1121042/CT250P2SSD8
SSD,WD,Blue SN550 NVMe PCIe M.2 250GB,168.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/991678/WDC-WDS250G2B0C-00PXH0
SSD,Crucial,P2 3D NVMe PCIe M.2 500GB,166.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1110621/CT500P2SSD8
SSD,Samsung,SM951 AHCI PCIe M.2 128GB,165.0,128GB,M.2,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,WD,Blue SN500 NVMe PCIe M.2 250GB,164.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
