Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,Hitachi,HDS721010DLE630 1TB,71.5,1TB,HDS721010DLE630,1TB,,https://hdd.userbenchmark.com/SpeedTest/744/Hitachi-HDS721010DLE630
HDD,WD,Purple 4TB (2014),71.1,4TB,Purple,4TB,2014.0,https://hdd.userbenchmark.com/SpeedTest/13618/WDC-WD40PURX-64GVNY0
HDD,WD,Red 6TB (2019),70.9,6TB,Red,6TB,2019.0,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0
HDD,Hitachi,HDS724040ALE640 4TB,70.6,4TB,HDS724040ALE640,4TB,,https://hdd.userbenchmark.com/SpeedTest/1070/HGST-HDS724040ALE640
HDD,WD,Blue 3TB (2015),70.6,3TB,Blue,3TB,2015.0,https://hdd.userbenchmark.com/WD-Blue-3TB-2015/Rating/3522
HDD,Seagate,ST2000NM0011 2TB,69.2,2TB,ST2000NM0011,2TB,,https://hdd.userbenchmark.com/SpeedTest/3761/ST2000NM0011
HDD,Hitachi,HUA723030ALA640 3TB,69.1,3TB,HUA723030ALA640,3TB,,https://hdd.userbenchmark.com/SpeedTest/5187/Hitachi-HUA723030ALA640
HDD,Toshiba,E300 3TB,69.1,3TB,E300,3TB,,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,Toshiba,E300 3TB,69.1,3TB,E300,3TB,,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,Seagate,SkyHawk 6TB (2016),69.1,6TB,SkyHawk,6TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/219872/ST6000VX0023-2EF110
HDD,WD,WD1500HLHX-01JJPV0 150GB,69.1,150GB,WD1500HLHX-01JJPV0,150GB,,https://hdd.userbenchmark.com/SpeedTest/5038/WDC-WD1500HLHX-01JJPV0
HDD,Hitachi,HDS5C3030BLE630 3TB,69.0,3TB,HDS5C3030BLE630,3TB,,https://hdd.userbenchmark.com/SpeedTest/8059/Hitachi-HDS5C3030BLE630
HDD,Toshiba,DT01ABA300 3TB,69.0,3TB,DT01ABA300,3TB,,https://hdd.userbenchmark.com/SpeedTest/8588/TOSHIBA-DT01ABA300
HDD,Seagate,Barracuda 8TB (2017),69.0,8TB,Barracuda,8TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/323996/ST8000DM004-2CX188
HDD,Seagate,ST33000651AS 3TB,68.8,3TB,ST33000651AS,3TB,,https://hdd.userbenchmark.com/SpeedTest/2159/ST33000651AS
HDD,WD,WD6000BLHX-01V7BV0 600GB,68.5,600GB,WD6000BLHX-01V7BV0,600GB,,https://hdd.userbenchmark.com/SpeedTest/6689/WDC-WD6000BLHX-01V7BV0
HDD,Seagate,SkyHawk 10TB (2016),68.5,10TB,SkyHawk,10TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/192288/ST10000VX0004-1ZE101
HDD,Hitachi,Deskstar 7K3000 3TB,68.3,3TB,Deskstar 7K3000,3TB,,https://hdd.userbenchmark.com/Hitachi-Deskstar-7K3000-3TB/Rating/1373
